DonorID,Name,Phone,Email,City,SignupDate,Past_Donations,Reliability_Score,Last_Feedback,Flagged
D00035,Donor 35,+918139027119,donor35@example.com,Delhi,2024-04-14,3,0.77,3,False
D00036,Donor 36,+919333103372,donor36@example.com,Bengaluru,2023-12-24,11,0.82,5,False
D00037,Donor 37,+919849232839,donor37@example.com,Pune,2023-11-06,0,0.92,3,False
D00038,Donor 38,+918210133979,donor38@example.com,Mumbai,2023-05-18,3,0.94,5,False
D00039,Donor 39,+917218179599,donor39@example.com,Delhi,2023-08-04,8,0.88,3,False
D00040,Donor 40,+918897669065,donor40@example.com,Mumbai,2024-03-09,15,0.53,3,False
D00041,Donor 41,+918585770584,donor41@example.com,Bengaluru,2024-03-13,7,0.58,3,True
D00042,Donor 42,+917171347175,donor42@example.com,Jaipur,2023-06-01,9,0.84,4,False
D00043,Donor 43,+918745377599,donor43@example.com,Ahmedabad,2023-08-04,11,0.95,5,False
D00044,Donor 44,+918426725702,donor44@example.com,Mumbai,2023-06-08,5,0.97,4,False
D00045,Donor 45,+919021598245,donor45@example.com,Mumbai,2023-09-12,3,0.85,3,False
D00046,Donor 46,+918711398352,donor46@example.com,Hyderabad,2023-07-24,7,0.81,4,False
D00047,Donor 47,+919918508077,donor47@example.com,Bengaluru,2023-10-13,8,0.84,5,False
D00048,Donor 48,+918140169349,donor48@example.com,Jaipur,2023-12-06,8,0.79,3,False
D00049,Donor 49,+917496694873,donor49@example.com,Surat,2023-04-22,10,0.86,4,False
D00050,Donor 50,+917300535210,donor50@example.com,Delhi,2023-07-14,18,0.3,3,True
D00051,Donor 51,+918328367510,donor51@example.com,Delhi,2023-12-05,3,0.93,5,False
D00052,Donor 52,+919855850145,donor52@example.com,Mumbai,2024-02-23,9,0.89,4,False
D00053,Donor 53,+918232285036,donor53@example.com,Mumbai,2023-06-28,12,0.89,3,False
D00054,Donor 54,+917917840538,donor54@example.com,Bengaluru,2024-03-16,10,0.87,5,False
D00055,Donor 55,+918439622619,donor55@example.com,Pune,2024-04-29,9,0.88,3,False
D00056,Donor 56,+919040695043,donor56@example.com,Mumbai,2023-08-29,6,0.79,5,False
D00057,Donor 57,+918716495971,donor57@example.com,Delhi,2023-03-16,6,0.93,3,False
D00058,Donor 58,+919988918316,donor58@example.com,Delhi,2023-06-01,3,0.94,5,False
D00059,Donor 59,+919867224513,donor59@example.com,Chennai,2024-04-20,3,0.86,5,False
D00060,Donor 60,+917683577992,donor60@example.com,Bengaluru,2023-11-21,13,0.96,5,False
D00061,Donor 61,+919238965651,donor61@example.com,Delhi,2024-05-01,7,0.96,4,False
D00062,Donor 62,+919319936135,donor62@example.com,Delhi,2023-09-02,9,0.81,3,False
D00063,Donor 63,+918750625978,donor63@example.com,Mumbai,2023-05-22,4,0.93,4,False
D00064,Donor 64,+919472571231,donor64@example.com,Kolkata,2024-04-22,18,0.42,2,True
D00065,Donor 65,+918799682701,donor65@example.com,Kolkata,2024-05-03,9,0.94,5,False
D00066,Donor 66,+919872790327,donor66@example.com,Delhi,2023-08-14,13,0.87,5,False
D00067,Donor 67,+918692304102,donor67@example.com,Bengaluru,2024-02-19,4,1.0,5,False
D00068,Donor 68,+918117362852,donor68@example.com,Mumbai,2023-01-28,4,0.97,4,False
D00069,Donor 69,+918810607153,donor69@example.com,Delhi,2023-12-02,10,0.94,4,False
D00070,Donor 70,+917294713656,donor70@example.com,Delhi,2023-03-25,6,0.6,3,False
D00071,Donor 71,+918024542722,donor71@example.com,Pune,2023-02-11,6,0.96,3,False
D00072,Donor 72,+918584392711,donor72@example.com,Delhi,2024-04-29,6,0.87,3,False
D00073,Donor 73,+919473028098,donor73@example.com,Ahmedabad,2023-04-28,3,0.89,5,False
D00074,Donor 74,+919693985578,donor74@example.com,Hyderabad,2024-01-20,6,0.77,3,False
D00075,Donor 75,+917176390590,donor75@example.com,Pune,2023-04-15,3,0.95,4,False
D00076,Donor 76,+918804138557,donor76@example.com,Delhi,2024-06-29,2,0.88,4,False
D00077,Donor 77,+919240885202,donor77@example.com,Bengaluru,2023-04-19,14,0.93,5,False
D00078,Donor 78,+919544659112,donor78@example.com,Kolkata,2023-10-04,15,0.87,4,False
D00079,Donor 79,+918995907669,donor79@example.com,Bengaluru,2023-11-27,2,0.82,5,False
D00080,Donor 80,+918109615163,donor80@example.com,Delhi,2024-01-24,15,0.35,2,True
D00081,Donor 81,+917820581106,donor81@example.com,Bengaluru,2023-10-14,8,0.89,3,False
D00082,Donor 82,+919108061573,donor82@example.com,Pune,2023-09-05,7,0.92,4,False
D00083,Donor 83,+919497762234,donor83@example.com,Delhi,2023-01-18,12,0.92,4,False
D00084,Donor 84,+918511014697,donor84@example.com,Pune,2024-04-29,13,1.0,5,False
D00085,Donor 85,+917513483708,donor85@example.com,Mumbai,2024-04-09,7,0.78,5,False
D00086,Donor 86,+919253298195,donor86@example.com,Pune,2024-07-02,15,0.82,5,False
D00087,Donor 87,+917060766757,donor87@example.com,Mumbai,2023-10-17,9,0.81,5,False
D00088,Donor 88,+917542366274,donor88@example.com,Hyderabad,2024-06-30,1,0.89,5,False
D00089,Donor 89,+917791835934,donor89@example.com,Bengaluru,2024-05-17,9,0.87,3,False
D00090,Donor 90,+919703448716,donor90@example.com,Mumbai,2023-09-16,2,0.85,5,False
D00091,Donor 91,+919396905421,donor91@example.com,Delhi,2023-02-24,9,0.77,4,False
D00092,Donor 92,+918841810119,donor92@example.com,Pune,2023-08-20,14,0.82,4,False
D00093,Donor 93,+917906346324,donor93@example.com,Delhi,2023-03-03,3,0.99,4,False
D00094,Donor 94,+919960826470,donor94@example.com,Bengaluru,2023-03-25,2,0.79,5,False
D00095,Donor 95,+918002547591,donor95@example.com,Mumbai,2024-04-26,14,0.51,2,False
D00096,Donor 96,+917610900200,donor96@example.com,Ahmedabad,2023-07-22,7,0.91,3,False
D00097,Donor 97,+918306061701,donor97@example.com,Bengaluru,2023-03-03,9,0.86,5,False
D00098,Donor 98,+918855548990,donor98@example.com,Pune,2024-02-17,15,0.86,5,False
D00099,Donor 99,+919470461357,donor99@example.com,Hyderabad,2023-11-27,2,0.81,5,False
D00100,Donor 100,+918194673401,donor100@example.com,Hyderabad,2023-01-22,5,0.87,3,False
D00101,Donor 101,+918378934717,donor101@example.com,Bengaluru,2024-03-22,2,0.87,5,False
D00102,Donor 102,+919362646960,donor102@example.com,Jaipur,2023-04-18,15,0.82,3,False
D00103,Donor 103,+919210174072,donor103@example.com,Chennai,2024-04-10,10,0.78,3,False
D00104,Donor 104,+917221670908,donor104@example.com,Pune,2024-04-18,16,0.49,1,False
D00105,Donor 105,+917521521078,donor105@example.com,Hyderabad,2023-10-01,9,0.86,3,False
D00106,Donor 106,+917487311805,donor106@example.com,Mumbai,2023-09-03,0,0.89,4,False
D00107,Donor 107,+918174350979,donor107@example.com,Delhi,2023-05-01,15,0.98,4,False
D00108,Donor 108,+919182878006,donor108@example.com,Ahmedabad,2024-05-09,4,0.85,5,False
D00109,Donor 109,+918147497835,donor109@example.com,Chennai,2023-05-20,13,0.83,3,False
D00110,Donor 110,+919080230418,donor110@example.com,Bengaluru,2023-10-17,15,0.97,4,False
D00111,Donor 111,+917810255760,donor111@example.com,Delhi,2023-12-07,12,0.86,5,False
D00112,Donor 112,+918637375316,donor112@example.com,Chennai,2023-09-02,13,0.76,4,False
D00113,Donor 113,+917431062656,donor113@example.com,Pune,2023-06-05,4,0.88,4,False
D00114,Donor 114,+919812264367,donor114@example.com,Bengaluru,2023-04-13,0,0.93,3,False
D00115,Donor 115,+919791027186,donor115@example.com,Hyderabad,2023-03-18,8,0.83,3,False
D00116,Donor 116,+919095718469,donor116@example.com,Ahmedabad,2023-12-03,10,0.91,5,False
D00117,Donor 117,+917422809996,donor117@example.com,Bengaluru,2023-02-06,14,0.6,3,True
D00118,Donor 118,+917241030242,donor118@example.com,Mumbai,2023-04-13,9,0.98,4,False
D00119,Donor 119,+917773338452,donor119@example.com,Pune,2024-01-03,7,0.88,3,False
D00120,Donor 120,+919504640817,donor120@example.com,Delhi,2023-06-29,12,0.9,3,False
D00121,Donor 121,+918998247509,donor121@example.com,Mumbai,2023-08-26,14,0.81,4,False
D00122,Donor 122,+918822393017,donor122@example.com,Delhi,2023-06-11,11,1.0,5,False
D00123,Donor 123,+917458072318,donor123@example.com,Kolkata,2023-09-14,6,1.0,3,False
D00124,Donor 124,+919827075539,donor124@example.com,Delhi,2024-01-26,9,1.0,4,False
D00125,Donor 125,+918229194523,donor125@example.com,Chennai,2023-10-09,1,0.98,3,False
D00126,Donor 126,+919831163141,donor126@example.com,Hyderabad,2023-12-27,8,0.92,5,False
D00127,Donor 127,+919489250532,donor127@example.com,Bengaluru,2023-05-21,1,0.83,4,False
D00128,Donor 128,+917567622001,donor128@example.com,Mumbai,2023-05-15,10,0.94,5,False
D00129,Donor 129,+919069520666,donor129@example.com,Delhi,2024-01-10,8,0.96,4,False
D00130,Donor 130,+919904788278,donor130@example.com,Jaipur,2023-12-13,2,0.79,5,False
D00131,Donor 131,+918953291127,donor131@example.com,Bengaluru,2024-02-11,12,0.75,4,False
D00132,Donor 132,+917107480046,donor132@example.com,Delhi,2023-09-26,11,0.78,5,False
D00133,Donor 133,+918297896903,donor133@example.com,Bengaluru,2023-12-02,2,0.91,5,False
D00134,Donor 134,+917417436465,donor134@example.com,Bengaluru,2024-02-23,1,0.83,3,False
D00135,Donor 135,+919320109101,donor135@example.com,Chennai,2024-07-04,11,0.92,4,False
D00136,Donor 136,+918201474778,donor136@example.com,Jaipur,2023-06-08,15,0.9,3,False
D00137,Donor 137,+919944974316,donor137@example.com,Mumbai,2024-01-15,7,0.96,4,False
D00138,Donor 138,+918952996248,donor138@example.com,Jaipur,2024-01-03,6,0.99,3,False
D00139,Donor 139,+917540838949,donor139@example.com,Delhi,2023-08-06,0,0.76,5,False
D00140,Donor 140,+918000721711,donor140@example.com,Kolkata,2023-07-30,6,0.9,4,False
D00141,Donor 141,+917472130062,donor141@example.com,Chennai,2023-06-01,9,0.6,3,False
D00142,Donor 142,+917225052083,donor142@example.com,Mumbai,2023-01-27,12,0.48,1,True
D00143,Donor 143,+919204340231,donor143@example.com,Chennai,2024-03-07,2,0.87,5,False
D00144,Donor 144,+919829967158,donor144@example.com,Ahmedabad,2023-04-22,1,0.93,5,False
D00145,Donor 145,+918724932977,donor145@example.com,Bengaluru,2023-11-05,0,0.77,4,False
D00146,Donor 146,+919612617557,donor146@example.com,Mumbai,2023-04-21,14,0.77,3,False
D00147,Donor 147,+918266576188,donor147@example.com,Pune,2023-03-09,10,0.85,4,False
D00148,Donor 148,+919367966782,donor148@example.com,Hyderabad,2024-06-01,3,0.96,5,False
D00149,Donor 149,+918712533097,donor149@example.com,Kolkata,2023-08-09,7,0.85,4,False
D00150,Donor 150,+919036965074,donor150@example.com,Mumbai,2023-04-08,8,0.84,3,False
D00151,Donor 151,+917558841618,donor151@example.com,Delhi,2023-04-04,3,0.94,5,False
D00152,Donor 152,+919857615772,donor152@example.com,Bengaluru,2023-03-03,10,0.92,4,False
D00153,Donor 153,+917664561034,donor153@example.com,Bengaluru,2023-02-22,11,0.78,5,False
D00154,Donor 154,+918196441373,donor154@example.com,Delhi,2024-05-08,11,0.96,5,False
D00155,Donor 155,+919978436070,donor155@example.com,Hyderabad,2023-08-20,0,0.9,4,False
D00156,Donor 156,+917779130936,donor156@example.com,Delhi,2023-01-30,9,0.98,3,False
D00157,Donor 157,+918615742667,donor157@example.com,Bengaluru,2024-02-15,0,0.77,4,False
D00158,Donor 158,+919437795758,donor158@example.com,Chennai,2024-04-09,9,0.93,5,False
D00159,Donor 159,+919843005049,donor159@example.com,Delhi,2023-03-28,1,0.92,4,False
D00160,Donor 160,+918482506118,donor160@example.com,Bengaluru,2024-05-12,8,0.8,4,False
D00161,Donor 161,+917947119487,donor161@example.com,Delhi,2023-04-24,15,0.88,4,False
D00162,Donor 162,+918243165953,donor162@example.com,Chennai,2023-02-26,6,0.94,4,False
D00163,Donor 163,+917988317990,donor163@example.com,Delhi,2023-05-03,13,0.79,5,False
D00164,Donor 164,+917334417350,donor164@example.com,Bengaluru,2023-12-29,1,0.86,4,False
D00165,Donor 165,+918394868732,donor165@example.com,Bengaluru,2024-03-15,13,0.82,3,False
D00166,Donor 166,+919250402001,donor166@example.com,Pune,2024-04-16,3,0.81,3,False
D00167,Donor 167,+919192509020,donor167@example.com,Mumbai,2024-02-10,7,0.83,5,False
D00168,Donor 168,+919772156452,donor168@example.com,Jaipur,2023-04-27,11,0.84,3,False
D00169,Donor 169,+919815389788,donor169@example.com,Mumbai,2023-08-30,6,0.79,3,False
D00170,Donor 170,+919761628889,donor170@example.com,Ahmedabad,2023-07-01,14,0.92,5,False
D00171,Donor 171,+918300603858,donor171@example.com,Bengaluru,2023-11-27,14,0.77,4,False
D00172,Donor 172,+918583715924,donor172@example.com,Mumbai,2023-02-27,9,0.87,4,False
D00173,Donor 173,+918987331439,donor173@example.com,Bengaluru,2023-03-20,2,0.9,5,False
D00174,Donor 174,+917647943369,donor174@example.com,Bengaluru,2023-02-12,6,0.83,3,False
D00175,Donor 175,+919775094726,donor175@example.com,Mumbai,2024-04-06,10,1.0,3,False
D00176,Donor 176,+918562929828,donor176@example.com,Pune,2023-02-10,14,0.88,4,False
D00177,Donor 177,+919709637214,donor177@example.com,Mumbai,2023-10-17,10,0.92,5,False
D00178,Donor 178,+919819921250,donor178@example.com,Hyderabad,2023-12-09,12,0.82,5,False
D00179,Donor 179,+919817733555,donor179@example.com,Delhi,2023-06-03,4,0.98,5,False
D00180,Donor 180,+918410796055,donor180@example.com,Delhi,2024-02-06,2,0.83,3,False
D00181,Donor 181,+918326569692,donor181@example.com,Mumbai,2024-06-23,13,0.88,3,False
D00182,Donor 182,+917665484476,donor182@example.com,Surat,2023-08-08,15,0.8,3,False
D00183,Donor 183,+919654424954,donor183@example.com,Kolkata,2023-10-30,1,0.92,3,False
D00184,Donor 184,+918564654057,donor184@example.com,Mumbai,2024-01-21,5,0.93,5,False
D00185,Donor 185,+919014406658,donor185@example.com,Delhi,2023-09-01,14,0.81,3,False
D00186,Donor 186,+919159967797,donor186@example.com,Chennai,2024-01-12,14,0.94,5,False
D00187,Donor 187,+919064121137,donor187@example.com,Mumbai,2024-03-04,4,0.97,4,False
D00188,Donor 188,+918929811336,donor188@example.com,Mumbai,2023-04-16,9,0.77,5,False
D00189,Donor 189,+917114547603,donor189@example.com,Ahmedabad,2023-05-31,7,0.95,4,False
D00190,Donor 190,+917964386641,donor190@example.com,Mumbai,2023-02-24,7,0.85,3,False
D00191,Donor 191,+918232137626,donor191@example.com,Mumbai,2023-11-23,10,0.95,4,False
D00192,Donor 192,+917926230061,donor192@example.com,Mumbai,2023-05-23,0,0.98,3,False
D00193,Donor 193,+918024089868,donor193@example.com,Mumbai,2024-06-24,9,0.81,4,False
D00194,Donor 194,+919213521907,donor194@example.com,Mumbai,2024-04-13,15,0.9,5,False
D00195,Donor 195,+918789144223,donor195@example.com,Delhi,2023-09-05,0,0.9,3,False
D00196,Donor 196,+919180222420,donor196@example.com,Bengaluru,2023-03-29,2,0.99,5,False
D00197,Donor 197,+918089419573,donor197@example.com,Surat,2023-01-21,1,0.91,5,False
D00198,Donor 198,+917445232926,donor198@example.com,Hyderabad,2023-01-17,11,0.81,5,False
D00199,Donor 199,+919940689225,donor199@example.com,Kolkata,2023-12-07,15,0.54,2,True
D00200,Donor 200,+918965718821,donor200@example.com,Chennai,2024-05-05,4,0.77,3,False
D00201,Donor 201,+919213555655,donor201@example.com,Jaipur,2023-10-28,11,0.57,2,False
D00202,Donor 202,+918425605673,donor202@example.com,Kolkata,2024-04-29,11,0.39,2,True
D00203,Donor 203,+918660626647,donor203@example.com,Ahmedabad,2023-05-08,12,0.94,4,False
D00204,Donor 204,+917354813720,donor204@example.com,Bengaluru,2023-07-11,11,0.98,5,False
D00205,Donor 205,+917343893360,donor205@example.com,Delhi,2024-03-10,5,0.89,4,False
D00206,Donor 206,+918920407276,donor206@example.com,Bengaluru,2023-10-30,13,0.79,3,False
D00207,Donor 207,+917246351029,donor207@example.com,Chennai,2023-12-28,8,0.91,3,False
D00208,Donor 208,+919609505739,donor208@example.com,Mumbai,2024-02-20,5,0.99,5,False
D00209,Donor 209,+918644347110,donor209@example.com,Delhi,2024-03-24,7,0.94,5,False
D00210,Donor 210,+917330220406,donor210@example.com,Delhi,2023-02-03,14,0.99,5,False
D00211,Donor 211,+917487258103,donor211@example.com,Delhi,2023-05-21,10,0.91,3,False
D00212,Donor 212,+918916728422,donor212@example.com,Delhi,2023-07-10,3,0.82,3,False
D00213,Donor 213,+918911737999,donor213@example.com,Bengaluru,2023-10-20,4,0.96,3,False
D00214,Donor 214,+919738900744,donor214@example.com,Kolkata,2023-11-24,9,0.97,3,False
D00215,Donor 215,+919121808073,donor215@example.com,Delhi,2024-01-06,6,0.95,3,False
D00216,Donor 216,+919628298180,donor216@example.com,Pune,2024-01-05,14,0.95,3,False
D00217,Donor 217,+919469178881,donor217@example.com,Chennai,2023-03-09,15,0.88,3,False
D00218,Donor 218,+917551192946,donor218@example.com,Bengaluru,2023-05-09,14,0.87,5,False
D00219,Donor 219,+918306204982,donor219@example.com,Bengaluru,2023-07-06,1,0.96,3,False
D00220,Donor 220,+918219978197,donor220@example.com,Jaipur,2023-06-15,7,0.84,3,False
D00221,Donor 221,+919291270703,donor221@example.com,Delhi,2023-09-14,8,0.78,3,False
D00222,Donor 222,+919599051823,donor222@example.com,Pune,2024-05-29,4,0.79,4,False
D00223,Donor 223,+918789226605,donor223@example.com,Chennai,2023-02-12,8,0.91,5,False
D00224,Donor 224,+918051742593,donor224@example.com,Delhi,2023-02-01,9,0.91,5,False
D00225,Donor 225,+918994763896,donor225@example.com,Bengaluru,2024-02-20,1,0.79,3,False
D00226,Donor 226,+918712474804,donor226@example.com,Kolkata,2023-12-15,10,0.93,3,False
D00227,Donor 227,+918931000173,donor227@example.com,Mumbai,2024-01-15,10,0.81,3,False
D00228,Donor 228,+917685904828,donor228@example.com,Delhi,2023-05-25,17,0.56,2,False
D00229,Donor 229,+918325171272,donor229@example.com,Bengaluru,2023-11-17,15,1.0,4,False
D00230,Donor 230,+918515672889,donor230@example.com,Delhi,2023-01-24,14,0.99,3,False
D00231,Donor 231,+917461696451,donor231@example.com,Mumbai,2023-02-21,15,0.82,4,False
D00232,Donor 232,+919449341007,donor232@example.com,Bengaluru,2023-05-18,12,0.84,5,False
D00233,Donor 233,+919361618235,donor233@example.com,Bengaluru,2023-07-19,2,0.85,4,False
D00234,Donor 234,+919395869480,donor234@example.com,Surat,2023-05-02,12,0.84,4,False
D00235,Donor 235,+917588566728,donor235@example.com,Mumbai,2023-05-28,12,0.88,5,False
D00236,Donor 236,+918408602588,donor236@example.com,Bengaluru,2023-12-08,4,0.9,5,False
D00237,Donor 237,+919189205388,donor237@example.com,Bengaluru,2023-11-23,9,0.9,5,False
D00238,Donor 238,+918789026838,donor238@example.com,Hyderabad,2024-05-16,0,0.84,5,False
D00239,Donor 239,+919506213395,donor239@example.com,Hyderabad,2023-11-12,20,0.38,2,True
D00240,Donor 240,+917135594311,donor240@example.com,Hyderabad,2023-06-24,12,0.79,5,False
D00241,Donor 241,+918762557538,donor241@example.com,Hyderabad,2023-04-23,15,0.43,3,False
D00242,Donor 242,+919054587733,donor242@example.com,Surat,2024-04-27,6,0.89,5,False
D00243,Donor 243,+918521651018,donor243@example.com,Delhi,2024-01-21,14,0.98,5,False
D00244,Donor 244,+918278244804,donor244@example.com,Delhi,2023-09-28,7,0.82,4,False
D00245,Donor 245,+918174491176,donor245@example.com,Jaipur,2023-08-01,11,0.89,4,False
D00246,Donor 246,+918482342139,donor246@example.com,Delhi,2023-05-05,12,0.97,3,False
D00247,Donor 247,+918101418477,donor247@example.com,Bengaluru,2023-10-25,2,0.84,5,False
D00248,Donor 248,+917589582865,donor248@example.com,Hyderabad,2024-05-05,8,0.98,3,False
D00249,Donor 249,+918418600299,donor249@example.com,Mumbai,2023-09-03,12,0.49,3,True
D00250,Donor 250,+917678351760,donor250@example.com,Pune,2024-04-28,4,0.75,4,False
D00251,Donor 251,+917384230848,donor251@example.com,Pune,2024-05-02,9,0.83,5,False
D00252,Donor 252,+917755006725,donor252@example.com,Mumbai,2023-08-26,1,0.98,3,False
D00253,Donor 253,+919439377645,donor253@example.com,Mumbai,2024-02-11,9,0.97,5,False
D00254,Donor 254,+919165576952,donor254@example.com,Mumbai,2023-04-20,15,0.97,4,False
D00255,Donor 255,+918104944224,donor255@example.com,Bengaluru,2023-10-07,10,0.79,5,False
D00256,Donor 256,+917753744909,donor256@example.com,Chennai,2023-07-10,9,0.89,5,False
D00257,Donor 257,+917603923411,donor257@example.com,Mumbai,2024-02-20,2,0.85,4,False
D00258,Donor 258,+918296847488,donor258@example.com,Jaipur,2023-11-28,17,0.37,3,False
D00259,Donor 259,+918317723211,donor259@example.com,Mumbai,2023-01-12,7,0.77,3,False
D00260,Donor 260,+918267176863,donor260@example.com,Pune,2024-02-20,9,0.92,4,False
D00261,Donor 261,+919601628976,donor261@example.com,Chennai,2023-08-15,15,0.79,4,False
D00262,Donor 262,+919559003646,donor262@example.com,Hyderabad,2024-03-01,6,0.94,3,False
D00263,Donor 263,+917265248799,donor263@example.com,Pune,2024-06-22,11,0.77,5,False
D00264,Donor 264,+918897690739,donor264@example.com,Kolkata,2024-06-01,4,0.79,3,False
D00265,Donor 265,+919204382691,donor265@example.com,Bengaluru,2023-07-30,14,0.95,4,False
D00266,Donor 266,+918700586760,donor266@example.com,Hyderabad,2024-04-12,19,0.5,2,False
D00267,Donor 267,+919324279536,donor267@example.com,Hyderabad,2023-01-04,1,0.86,3,False
D00268,Donor 268,+919774036963,donor268@example.com,Chennai,2023-03-12,18,0.35,2,True
D00269,Donor 269,+919842377282,donor269@example.com,Hyderabad,2024-01-19,12,0.84,5,False
D00270,Donor 270,+919271361431,donor270@example.com,Bengaluru,2023-05-17,3,0.79,3,False
D00271,Donor 271,+918821616017,donor271@example.com,Hyderabad,2023-08-17,9,0.87,5,False
D00272,Donor 272,+917484664056,donor272@example.com,Mumbai,2024-01-24,11,0.79,3,False
D00273,Donor 273,+919550970716,donor273@example.com,Mumbai,2024-03-05,0,0.81,3,False
D00274,Donor 274,+918885330933,donor274@example.com,Mumbai,2024-04-02,1,0.81,3,False
D00275,Donor 275,+919474375067,donor275@example.com,Ahmedabad,2023-08-11,9,0.81,4,False
D00276,Donor 276,+918776227561,donor276@example.com,Bengaluru,2023-11-25,4,1.0,4,False
D00277,Donor 277,+919128675098,donor277@example.com,Bengaluru,2023-10-09,5,0.91,3,False
D00278,Donor 278,+918288011277,donor278@example.com,Bengaluru,2023-12-19,10,0.92,4,False
D00279,Donor 279,+918988677919,donor279@example.com,Hyderabad,2023-07-08,7,0.83,3,False
D00280,Donor 280,+918418468740,donor280@example.com,Delhi,2024-02-27,4,0.85,5,False
D00281,Donor 281,+917221348142,donor281@example.com,Kolkata,2023-03-22,2,0.88,4,False
D00282,Donor 282,+919883858045,donor282@example.com,Chennai,2024-01-22,2,0.8,5,False
D00283,Donor 283,+917909707455,donor283@example.com,Ahmedabad,2023-08-11,10,0.83,3,False
D00284,Donor 284,+918381325941,donor284@example.com,Delhi,2023-05-01,6,0.85,4,False
D00285,Donor 285,+919135789708,donor285@example.com,Delhi,2024-01-25,11,0.83,4,False
D00286,Donor 286,+918777816561,donor286@example.com,Delhi,2023-04-11,10,0.98,3,False
D00287,Donor 287,+918631399401,donor287@example.com,Delhi,2023-08-15,18,0.39,3,True
D00288,Donor 288,+919756056675,donor288@example.com,Kolkata,2023-09-09,10,0.81,5,False
D00289,Donor 289,+919097302637,donor289@example.com,Hyderabad,2024-05-17,11,0.79,3,False
D00290,Donor 290,+918771211118,donor290@example.com,Chennai,2023-03-02,7,0.58,1,True
D00291,Donor 291,+917259631271,donor291@example.com,Bengaluru,2023-08-25,0,0.8,5,False
D00292,Donor 292,+918231317910,donor292@example.com,Bengaluru,2024-05-09,18,0.3,1,False
D00293,Donor 293,+917639509845,donor293@example.com,Mumbai,2024-05-29,5,0.78,3,False
D00294,Donor 294,+918602244331,donor294@example.com,Delhi,2023-07-16,11,0.82,4,False
D00295,Donor 295,+917346247039,donor295@example.com,Kolkata,2024-04-15,7,0.82,5,False
D00296,Donor 296,+917040588163,donor296@example.com,Mumbai,2023-02-02,12,0.89,5,False
